Name,Status,Position,Nation,Age,Rating,Playstyle,Market Value,Window Signed,Loaned/Transferred From,Loan Length,Contracted Team,PositionOrder
Matías Lugo,The Draft,DMF,Argentina,24.0,67.0,The Destroyer,5000000,,,,,3.0
Royscer Colpa,The Draft,DMF,Colombia,30.0,67.0,The Destroyer,2100000,,,,,3.0
Samuel Braybrooke,The Draft,DMF,England,21.0,67.0,The Destroyer,5000000,,,,,3.0
Tiago Brito,The Draft,DMF,Portugal,21.0,67.0,The Destroyer,5000000,,,,,3.0
Yani Quintero,The Draft,DMF,Colombia,23.0,67.0,The Destroyer,5000000,,,,,3.0
Ali Haram,The Draft,DMF,Bahrain,37.0,68.0,Anchor Man,2000000,,,,,3.0
Arthur Atta,The Draft,DMF,France,22.0,68.0,Anchor Man,5000000,,,,,3.0
Assane Dioussé,The Draft,DMF,Senegal,28.0,68.0,Anchor Man,5000000,,,,,3.0
Betim Fazliji,The Draft,DMF,Kosovo,26.0,68.0,Anchor Man,5000000,,,,,3.0
Corey Hollman,The Draft,DMF,Australia,22.0,68.0,Anchor Man,5000000,,,,,3.0
David Ozoh,The Draft,DMF,England,20.0,68.0,Anchor Man,5000000,,,,,3.0
Denil Castillo,The Draft,DMF,Ecuador,21.0,68.0,Anchor Man,5000000,,,,,3.0
Diego Méndez,The Draft,DMF,Spain,22.0,68.0,Anchor Man,5000000,,,,,3.0
Fredrik Jensen,The Draft,DMF,Norway,32.0,68.0,Anchor Man,2000000,,,,,3.0
Gary Magnée,The Draft,DMF,Belgium,26.0,68.0,Anchor Man,5000000,,,,,3.0
George Evans,The Draft,DMF,England,31.0,68.0,Anchor Man,2400000,,,,,3.0
Giuseppe Leone,The Draft,DMF,Italy,24.0,68.0,Anchor Man,5000000,,,,,3.0
Jakob Bonde,The Draft,DMF,Denmark,32.0,68.0,Anchor Man,2000000,,,,,3.0
Jamie Roche,The Draft,DMF,Sweden,24.0,68.0,Anchor Man,5000000,,,,,3.0
Jeakson Singh,The Draft,DMF,India,24.0,68.0,Anchor Man,5000000,,,,,3.0
Jesper Ceesay,The Draft,DMF,The Gambia,24.0,68.0,Anchor Man,5000000,,,,,3.0
Jesús Bueno,The Draft,DMF,Venezuela,26.0,68.0,Anchor Man,5000000,,,,,3.0
Joran Gerbet,The Draft,DMF,France,24.0,68.0,Anchor Man,5000000,,,,,3.0
Juan Andrada,The Draft,DMF,Argentina,30.0,68.0,Anchor Man,3200000,,,,,3.0
Kim Dong-Hyun,The Draft,DMF,Korea Republic,28.0,68.0,Anchor Man,5000000,,,,,3.0
Kritsada Kaman,The Draft,DMF,Thailand,26.0,68.0,Anchor Man,5000000,,,,,3.0
Leonardo Capezzi,The Draft,DMF,Italy,30.0,68.0,Anchor Man,3200000,,,,,3.0
Liam Gibbs,The Draft,DMF,England,23.0,68.0,Anchor Man,5000000,,,,,3.0
Luca Stephenson,The Draft,DMF,England,22.0,68.0,Anchor Man,5000000,,,,,3.0
Matías Vera,The Draft,DMF,Argentina,30.0,68.0,Anchor Man,3200000,,,,,3.0
Mohammad Ghorbani,The Draft,DMF,IR Iran,24.0,68.0,Anchor Man,5000000,,,,,3.0
Moussa Diakité,The Draft,DMF,Mali,22.0,68.0,Anchor Man,5000000,,,,,3.0
Nicolás Árevalo,The Draft,DMF,Colombia,22.0,68.0,Anchor Man,5000000,,,,,3.0
Pablo Tomeo,The Draft,DMF,Spain,25.0,68.0,Anchor Man,5000000,,,,,3.0
Rasmus Vinderslev,The Draft,DMF,Denmark,28.0,68.0,Anchor Man,5000000,,,,,3.0
Ratthanakorn Maikami,The Draft,DMF,Thailand,27.0,68.0,Anchor Man,5000000,,,,,3.0
Sabit Abdulai,The Draft,DMF,Ghana,26.0,68.0,Anchor Man,5000000,,,,,3.0
Santiago Sosa,The Draft,DMF,Argentina,20.0,68.0,Anchor Man,5000000,,,,,3.0
Shimpei Fukuoka,The Draft,DMF,Japan,25.0,68.0,Anchor Man,5000000,,,,,3.0
Taşkın İlter,The Draft,DMF,Azerbaijan,31.0,68.0,Anchor Man,2400000,,,,,3.0
Tiago Galletto,The Draft,DMF,Uruguay,23.0,68.0,Anchor Man,5000000,,,,,3.0
Tomás Mendes,The Draft,DMF,Spain,21.0,68.0,Anchor Man,5000000,,,,,3.0
Tommy McCabe,The Draft,DMF,United States,27.0,68.0,Anchor Man,5000000,,,,,3.0
Yesid Díaz,The Draft,DMF,Colombia,28.0,68.0,Anchor Man,5000000,,,,,3.0
Youness Lachhab,The Draft,DMF,Morocco,26.0,68.0,Anchor Man,5000000,,,,,3.0
Yuya Kuwasaki,The Draft,DMF,Japan,27.0,68.0,Anchor Man,5000000,,,,,3.0
Aidan Rocha,The Draft,DMF,United States,25.0,68.0,Box-to-Box,5000000,,,,,3.0
Alejandro Bran,The Draft,DMF,Costa Rica,24.0,68.0,Box-to-Box,5000000,,,,,3.0
Chris Allan,The Draft,DMF,England,27.0,68.0,Box-to-Box,5000000,,,,,3.0
Diego Rosa,The Draft,DMF,Brazil,23.0,68.0,Box-to-Box,5000000,,,,,3.0
Gerónimo Heredia,The Draft,DMF,Argentina,20.0,68.0,Box-to-Box,5000000,,,,,3.0
Igor Postonjski,The Draft,DMF,Croatia,30.0,68.0,Box-to-Box,3200000,,,,,3.0
James McConnell,The Draft,DMF,England,21.0,68.0,Box-to-Box,5000000,,,,,3.0
Lam Hin Ting,The Draft,DMF,"Hong Kong, China",26.0,68.0,Box-to-Box,5000000,,,,,3.0
Majed Hassan,The Draft,DMF,United Arab Emirates,33.0,68.0,Box-to-Box,2000000,,,,,3.0
Orlando Galo,The Draft,DMF,Costa Rica,25.0,68.0,Box-to-Box,5000000,,,,,3.0
Raheem Somersall,The Draft,DMF,St Kitts and Nevis,28.0,68.0,Box-to-Box,5000000,,,,,3.0
Salvador Cordero,The Draft,DMF,Chile,29.0,68.0,Box-to-Box,5000000,,,,,3.0
Steven Echevarria,The Draft,DMF,Puerto Rico,29.0,68.0,Box-to-Box,5000000,,,,,3.0
Zico Bailey,The Draft,DMF,Philippines,25.0,68.0,Box-to-Box,5000000,,,,,3.0
Anton Stach,The Draft,DMF,Germany,27.0,68.0,None,5000000,,,,,3.0
Adam Saldaña,The Draft,DMF,United States,23.0,68.0,Orchestrator,5000000,,,,,3.0
Alan Forneris,The Draft,DMF,Argentina,20.0,68.0,Orchestrator,5000000,,,,,3.0
Andreas Pyndt,The Draft,DMF,Denmark,24.0,68.0,Orchestrator,5000000,,,,,3.0
Anumanthan Kumar,The Draft,DMF,Singapore,31.0,68.0,Orchestrator,2400000,,,,,3.0
Evertton,The Draft,DMF,Brazil,22.0,68.0,Orchestrator,5000000,,,,,3.0
Fabrizio Peralta,The Draft,DMF,Paraguay,23.0,68.0,Orchestrator,5000000,,,,,3.0
Francisco Romero,The Draft,DMF,Argentina,26.0,68.0,Orchestrator,5000000,,,,,3.0
Hamzat Ojediran,The Draft,DMF,Nigeria,22.0,68.0,Orchestrator,5000000,,,,,3.0
Juan Valencia,The Draft,DMF,Colombia,27.0,68.0,Orchestrator,5000000,,,,,3.0
Kévin Appin,The Draft,DMF,France,27.0,68.0,Orchestrator,5000000,,,,,3.0
Marco Collao,The Draft,DMF,Chile,27.0,68.0,Orchestrator,5000000,,,,,3.0
Mathis Lachuer,The Draft,DMF,France,25.0,68.0,Orchestrator,5000000,,,,,3.0
Olivier Custodio,The Draft,DMF,Switzerland,30.0,68.0,Orchestrator,3200000,,,,,3.0
Patrick Silva,The Draft,DMF,Brazil,21.0,68.0,Orchestrator,5000000,,,,,3.0
Rihito Yamamoto,The Draft,DMF,Japan,24.0,68.0,Orchestrator,5000000,,,,,3.0
Sandry,The Draft,DMF,Brazil,23.0,68.0,Orchestrator,5000000,,,,,3.0
Sarach Yooyen,The Draft,DMF,Thailand,33.0,68.0,Orchestrator,2000000,,,,,3.0
Shuto Minami,The Draft,DMF,Japan,32.0,68.0,Orchestrator,2000000,,,,,3.0
Taishi Taguchi,The Draft,DMF,Japan,34.0,68.0,Orchestrator,2000000,,,,,3.0
Zé Ricardo,The Draft,DMF,Brazil,26.0,68.0,Orchestrator,5000000,,,,,3.0
Agustín Baldi,The Draft,DMF,Argentina,23.0,68.0,The Destroyer,5000000,,,,,3.0
Ali Salmin,The Draft,DMF,United Arab Emirates,30.0,68.0,The Destroyer,3200000,,,,,3.0
Andrés Alarcón,The Draft,DMF,Colombia,24.0,68.0,The Destroyer,5000000,,,,,3.0
Baltazar Costa,The Draft,DMF,Brazil,25.0,68.0,The Destroyer,5000000,,,,,3.0
Emmanuel Boateng,The Draft,DMF,Ghana,28.0,68.0,The Destroyer,5000000,,,,,3.0
Étienne Camara,The Draft,DMF,France,22.0,68.0,The Destroyer,5000000,,,,,3.0
Eugenio Pizzuto,The Draft,DMF,Mexico,23.0,68.0,The Destroyer,5000000,,,,,3.0
Jeppe Grønning,The Draft,DMF,Denmark,34.0,68.0,The Destroyer,2000000,,,,,3.0
Lee Jin-Yong,The Draft,DMF,Korea Republic,24.0,68.0,The Destroyer,5000000,,,,,3.0
Marcos Gómez,The Draft,DMF,Paraguay,24.0,68.0,The Destroyer,5000000,,,,,3.0
Marius Doh,The Draft,DMF,Côte d'Ivoire,22.0,68.0,The Destroyer,5000000,,,,,3.0
Martín Villarroel,The Draft,DMF,Chile,24.0,68.0,The Destroyer,5000000,,,,,3.0
Ralph,The Draft,DMF,Brazil,27.0,68.0,The Destroyer,5000000,,,,,3.0
Ronaldo Pájaro,The Draft,DMF,Colombia,23.0,68.0,The Destroyer,5000000,,,,,3.0
Sebastián Díaz,The Draft,DMF,Chile,29.0,68.0,The Destroyer,5000000,,,,,3.0
Tomás Bottari,The Draft,DMF,Argentina,24.0,68.0,The Destroyer,5000000,,,,,3.0
Yang Shiyuan,The Draft,DMF,China PR,31.0,68.0,The Destroyer,2400000,,,,,3.0
Yannick Bright,The Draft,DMF,Italy,24.0,68.0,The Destroyer,5000000,,,,,3.0
Yaw Ackah,The Draft,DMF,Ghana,26.0,68.0,The Destroyer,5000000,,,,,3.0
Yusuke Kobayashi,The Draft,DMF,Japan,31.0,68.0,The Destroyer,2400000,,,,,3.0
Aaron Molloy,The Draft,DMF,Republic of Ireland,28.0,69.0,Anchor Man,5100000,,,,,3.0
Abdullah Al Khaibari,The Draft,DMF,Saudi Arabia,29.0,69.0,Anchor Man,5100000,,,,,3.0
Adam Forshaw,The Draft,DMF,England,34.0,69.0,Anchor Man,2000000,,,,,3.0
Ahmed Koka,The Draft,DMF,Egypt,24.0,69.0,Anchor Man,5250000,,,,,3.0
Alonso Coello,The Draft,DMF,Spain,26.0,69.0,Anchor Man,5100000,,,,,3.0
Amos Nondi,The Draft,DMF,Kenya,26.0,69.0,Anchor Man,5100000,,,,,3.0
Andrian Kraev,The Draft,DMF,Bulgaria,26.0,69.0,Anchor Man,5100000,,,,,3.0
Aschraf El Mahdioui,The Draft,DMF,Netherlands,29.0,69.0,Anchor Man,5100000,,,,,3.0
Brad Spencer,The Draft,DMF,Scotland,29.0,69.0,Anchor Man,5100000,,,,,3.0
Calem Nieuwenhof,The Draft,DMF,Australia,24.0,69.0,Anchor Man,5250000,,,,,3.0
Camilo Moya,The Draft,DMF,Chile,27.0,69.0,Anchor Man,5100000,,,,,3.0
Chris-Kévin Nadje,The Draft,DMF,Côte d'Ivoire,24.0,69.0,Anchor Man,5250000,,,,,3.0
Christian Gomis,The Draft,DMF,Senegal,27.0,69.0,Anchor Man,5100000,,,,,3.0
Davide Buglio,The Draft,DMF,Italy,27.0,69.0,Anchor Man,5100000,,,,,3.0
Deyson Copete,The Draft,DMF,Colombia,24.0,69.0,Anchor Man,5250000,,,,,3.0
Elliot Watt,The Draft,DMF,Scotland,25.0,69.0,Anchor Man,5100000,,,,,3.0
Emanuel Cecchini,The Draft,DMF,Argentina,29.0,69.0,Anchor Man,5100000,,,,,3.0
Felipe Jaramillo,The Draft,DMF,Colombia,29.0,69.0,Anchor Man,5100000,,,,,3.0
Felipinho,The Draft,DMF,Brazil,24.0,69.0,Anchor Man,5250000,,,,,3.0
Freddie Potts,The Draft,DMF,England,22.0,69.0,Anchor Man,5550000,,,,,3.0
Giannis Papanikolaou,The Draft,DMF,Greece,27.0,69.0,Anchor Man,5100000,,,,,3.0
Hector Kyprianou,The Draft,DMF,Cyprus,24.0,69.0,Anchor Man,5250000,,,,,3.0
Ioannis Kousoulos,The Draft,DMF,Cyprus,29.0,69.0,Anchor Man,5100000,,,,,3.0
Isma Ruiz,The Draft,DMF,Spain,24.0,69.0,Anchor Man,5250000,,,,,3.0
Ismahila Ouédraogo,The Draft,DMF,Burkina Faso,26.0,69.0,Anchor Man,5100000,,,,,3.0
Jassem Gaber,The Draft,DMF,Qatar,23.0,69.0,Anchor Man,5400000,,,,,3.0
Jay Fulton,The Draft,DMF,Scotland,31.0,69.0,Anchor Man,3600000,,,,,3.0
Jean-Philippe Gbamin,The Draft,DMF,Côte d'Ivoire,30.0,69.0,Anchor Man,4800000,,,,,3.0
João Afonso,The Draft,DMF,Brazil,30.0,69.0,Anchor Man,4800000,,,,,3.0
João Gamboa,The Draft,DMF,Portugal,29.0,69.0,Anchor Man,5100000,,,,,3.0
Kenny Dougall,The Draft,DMF,Australia,32.0,69.0,Anchor Man,2700000,,,,,3.0
Kento Misao,The Draft,DMF,Japan,29.0,69.0,Anchor Man,5100000,,,,,3.0
Kwon Hyeok-Kyu,The Draft,DMF,Korea Republic,24.0,69.0,Anchor Man,5250000,,,,,3.0
Lamine Diack,The Draft,DMF,Senegal,25.0,69.0,Anchor Man,5100000,,,,,3.0
Lasse Berg Johnsen,The Draft,DMF,Norway,26.0,69.0,Anchor Man,5100000,,,,,3.0
Leo Osaki,The Draft,DMF,Japan,34.0,69.0,Anchor Man,2000000,,,,,3.0
Luca Lipani,The Draft,DMF,Italy,20.0,69.0,Anchor Man,6300000,,,,,3.0
Matti Peltola,The Draft,DMF,Finland,23.0,69.0,Anchor Man,5400000,,,,,3.0
Maximiliano González,The Draft,DMF,Argentina,21.0,69.0,Anchor Man,5700000,,,,,3.0
Mory Konaté,The Draft,DMF,Guinea,32.0,69.0,Anchor Man,2700000,,,,,3.0
Ngan Lok Fung,The Draft,DMF,"Hong Kong, China",32.0,69.0,Anchor Man,2700000,,,,,3.0
Nizar Al Rashdan,The Draft,DMF,Jordan,26.0,69.0,Anchor Man,5100000,,,,,3.0
Park Jin-Seop,The Draft,DMF,Korea Republic,30.0,69.0,Anchor Man,4800000,,,,,3.0
Rasmus Schüller,The Draft,DMF,Finland,34.0,69.0,Anchor Man,2000000,,,,,3.0
Ryu Jae-Moon,The Draft,DMF,Korea Republic,32.0,69.0,Anchor Man,2700000,,,,,3.0
Saad Abdulameer,The Draft,DMF,Iraq,33.0,69.0,Anchor Man,2100000,,,,,3.0
Santiago Trigos,The Draft,DMF,Mexico,23.0,69.0,Anchor Man,5400000,,,,,3.0
Tom Ducrocq,The Draft,DMF,France,26.0,69.0,Anchor Man,5100000,,,,,3.0
Tom Trybull,The Draft,DMF,Germany,32.0,69.0,Anchor Man,2700000,,,,,3.0
Victor Loturi,The Draft,DMF,Canada,24.0,69.0,Anchor Man,5250000,,,,,3.0
William Clem,The Draft,DMF,Denmark,21.0,69.0,Anchor Man,5700000,,,,,3.0
Won Du-Jae,The Draft,DMF,Korea Republic,28.0,69.0,Anchor Man,5100000,,,,,3.0
Yahya Jabrane,The Draft,DMF,Morocco,34.0,69.0,Anchor Man,2000000,,,,,3.0
Agon Elezi,The Draft,DMF,North Macedonia,24.0,69.0,Box-to-Box,5250000,,,,,3.0
Carlos Jatobá,The Draft,DMF,Brazil,30.0,69.0,Box-to-Box,4800000,,,,,3.0
Craig Sibbald,The Draft,DMF,Scotland,30.0,69.0,Box-to-Box,4800000,,,,,3.0
Dannovi Quiñonez,The Draft,DMF,Colombia,24.0,69.0,Box-to-Box,5250000,,,,,3.0
Danny Crisostomo,The Draft,DMF,United States,28.0,69.0,Box-to-Box,5100000,,,,,3.0
Dante Polvara,The Draft,DMF,United States,24.0,69.0,Box-to-Box,5250000,,,,,3.0
Diego Orellana,The Draft,DMF,Chile,32.0,69.0,Box-to-Box,2700000,,,,,3.0
Djibril Diani,The Draft,DMF,France,27.0,69.0,Box-to-Box,5100000,,,,,3.0
Dylan Tait,The Draft,DMF,Scotland,24.0,69.0,Box-to-Box,5250000,,,,,3.0
Ewil Murillo,The Draft,DMF,Colombia,25.0,69.0,Box-to-Box,5100000,,,,,3.0
Kevon Lambert,The Draft,DMF,Jamaica,28.0,69.0,Box-to-Box,5100000,,,,,3.0
Lamine Fomba,The Draft,DMF,France,27.0,69.0,Box-to-Box,5100000,,,,,3.0
Maguette Gueye,The Draft,DMF,Senegal,23.0,69.0,Box-to-Box,5400000,,,,,3.0
Mathias Fixelles,The Draft,DMF,Belgium,29.0,69.0,Box-to-Box,5100000,,,,,3.0
Patrickson Delgado,The Draft,DMF,Ecuador,22.0,69.0,Box-to-Box,5550000,,,,,3.0
Roberto Bochi,The Draft,DMF,Argentina,38.0,69.0,Box-to-Box,2000000,,,,,3.0
Zach Duncan,The Draft,DMF,Australia,25.0,69.0,Box-to-Box,5100000,,,,,3.0
Alexis Beka Beka,The Draft,DMF,France,24.0,69.0,Orchestrator,5250000,,,,,3.0
Carlos Rentería,The Draft,DMF,Colombia,30.0,69.0,Orchestrator,4800000,,,,,3.0
Cesar Garza,The Draft,DMF,Mexico,20.0,69.0,Orchestrator,6300000,,,,,3.0
Clint Leemans,The Draft,DMF,Netherlands,30.0,69.0,Orchestrator,4800000,,,,,3.0
Daniel Barlaser,The Draft,DMF,England,28.0,69.0,Orchestrator,5100000,,,,,3.0
Dave Kwakman,The Draft,DMF,Netherlands,21.0,69.0,Orchestrator,5700000,,,,,3.0
Gedion Zelalem,The Draft,DMF,United States,28.0,69.0,Orchestrator,5100000,,,,,3.0
Jesús Castillo,The Draft,DMF,Peru,24.0,69.0,Orchestrator,5250000,,,,,3.0
Jorge Bermúdez,The Draft,DMF,Colombia,24.0,69.0,Orchestrator,5250000,,,,,3.0
Kaito Yasui,The Draft,DMF,Japan,25.0,69.0,Orchestrator,5100000,,,,,3.0
Kartal Yılmaz,The Draft,DMF,Türkiye,25.0,69.0,Orchestrator,5100000,,,,,3.0
Kevin Partida,The Draft,DMF,United States,30.0,69.0,Orchestrator,4800000,,,,,3.0
Lorenzo Crisetig,The Draft,DMF,Italy,32.0,69.0,Orchestrator,2700000,,,,,3.0
Luca Zuffi,The Draft,DMF,Switzerland,35.0,69.0,Orchestrator,2000000,,,,,3.0
Lucas Falcão,The Draft,DMF,Brazil,27.0,69.0,Orchestrator,5100000,,,,,3.0
Mark Brink,The Draft,DMF,Denmark,27.0,69.0,Orchestrator,5100000,,,,,3.0
Matteo Ricci,The Draft,DMF,Italy,31.0,69.0,Orchestrator,3600000,,,,,3.0
Nicolás Schiavi,The Draft,DMF,Argentina,30.0,69.0,Orchestrator,4800000,,,,,3.0
Pedro Ortiz,The Draft,DMF,Spain,25.0,69.0,Orchestrator,5100000,,,,,3.0
Ralph Priso,The Draft,DMF,Canada,23.0,69.0,Orchestrator,5400000,,,,,3.0
Tomás Pérez,The Draft,DMF,Argentina,20.0,69.0,Orchestrator,6300000,,,,,3.0
Vicente Pizarro,The Draft,DMF,Chile,23.0,69.0,Orchestrator,5400000,,,,,3.0
Wu Chun Ming,The Draft,DMF,"Hong Kong, China",28.0,69.0,Orchestrator,5100000,,,,,3.0
Ali Al Hassan,The Draft,DMF,Saudi Arabia,28.0,69.0,The Destroyer,5100000,,,,,3.0
Ángel Algobia,The Draft,DMF,Spain,26.0,69.0,The Destroyer,5100000,,,,,3.0
Boris Céspedes,The Draft,DMF,Bolivia,30.0,69.0,The Destroyer,4800000,,,,,3.0
Brem Soumaoro,The Draft,DMF,Liberia,29.0,69.0,The Destroyer,5100000,,,,,3.0
Caíque Gonçalves,The Draft,DMF,Brazil,30.0,69.0,The Destroyer,4800000,,,,,3.0
Esteban Valencia,The Draft,DMF,Chile,26.0,69.0,The Destroyer,5100000,,,,,3.0
Huang Zhengyu,The Draft,DMF,China PR,28.0,69.0,The Destroyer,5100000,,,,,3.0
Jamie Brandon,The Draft,DMF,Scotland,27.0,69.0,The Destroyer,5100000,,,,,3.0
Jay Matete,The Draft,DMF,England,24.0,69.0,The Destroyer,5250000,,,,,3.0
Jean-Baptiste Gorby,The Draft,DMF,France,23.0,69.0,The Destroyer,5400000,,,,,3.0
Julián Fernández,The Draft,DMF,Argentina,30.0,69.0,The Destroyer,4800000,,,,,3.0
Kaick,The Draft,DMF,Brazil,20.0,69.0,The Destroyer,6300000,,,,,3.0
Liam Donnelly,The Draft,DMF,Northern Ireland,29.0,69.0,The Destroyer,5100000,,,,,3.0
Louis Mouton,The Draft,DMF,France,23.0,69.0,The Destroyer,5400000,,,,,3.0
Masoud Riki,The Draft,DMF,IR Iran,34.0,69.0,The Destroyer,2000000,,,,,3.0
Mohamad Sylla,The Draft,DMF,France,32.0,69.0,The Destroyer,2700000,,,,,3.0
Ronaldo,The Draft,DMF,Brazil,29.0,69.0,The Destroyer,5100000,,,,,3.0
Roozbeh Cheshmi,The Draft,DMF,IR Iran,32.0,69.0,The Destroyer,2700000,,,,,3.0
Sebastián Galani,The Draft,DMF,Chile,28.0,69.0,The Destroyer,5100000,,,,,3.0
Show,The Draft,DMF,Angola,26.0,69.0,The Destroyer,5100000,,,,,3.0
Stéfano Moreyra,The Draft,DMF,Argentina,24.0,69.0,The Destroyer,5250000,,,,,3.0
Takuji Yonemoto,The Draft,DMF,Japan,35.0,69.0,The Destroyer,2000000,,,,,3.0
Tomoki Takamine,The Draft,DMF,Japan,28.0,69.0,The Destroyer,5100000,,,,,3.0
Vincent Pajot,The Draft,DMF,France,35.0,69.0,The Destroyer,2000000,,,,,3.0
Yílmar Velásquez,The Draft,DMF,Colombia,26.0,69.0,The Destroyer,5100000,,,,,3.0
Abdoulaye Sissako,The Draft,DMF,France,27.0,70.0,Anchor Man,7600000,,,,,3.0
Ahmed Kashi,The Draft,DMF,Algeria,37.0,70.0,Anchor Man,2000000,,,,,3.0
Alexander N'Doumbou,The Draft,DMF,Gabon,33.0,70.0,Anchor Man,3600000,,,,,3.0
Amar Sejdić,The Draft,DMF,United States,29.0,70.0,Anchor Man,7600000,,,,,3.0
André Rømer,The Draft,DMF,Denmark,32.0,70.0,Anchor Man,4400000,,,,,3.0
Andrés Colorado,The Draft,DMF,Colombia,27.0,70.0,Anchor Man,7600000,,,,,3.0
Aníbal Godoy,The Draft,DMF,Panama,35.0,70.0,Anchor Man,2000000,,,,,3.0
Anto Grgić,The Draft,DMF,Switzerland,29.0,70.0,Anchor Man,7600000,,,,,3.0
Aodhan Quinn,The Draft,DMF,United States,33.0,70.0,Anchor Man,3600000,,,,,3.0
Basil Stillhart,The Draft,DMF,Switzerland,31.0,70.0,Anchor Man,5600000,,,,,3.0
Caio Vinícius,The Draft,DMF,Brazil,26.0,70.0,Anchor Man,7600000,,,,,3.0
Chris Durkin,The Draft,DMF,United States,25.0,70.0,Anchor Man,7600000,,,,,3.0
Cyril Mandouki,The Draft,DMF,France,34.0,70.0,Anchor Man,2000000,,,,,3.0
Daniël van Kaam,The Draft,DMF,Netherlands,25.0,70.0,Anchor Man,7600000,,,,,3.0
Danilo Špoljarić,The Draft,DMF,Cyprus,26.0,70.0,Anchor Man,7600000,,,,,3.0
Danny Leyva,The Draft,DMF,United States,22.0,70.0,Anchor Man,8200000,,,,,3.0
Diego Campillo,The Draft,DMF,Mexico,24.0,70.0,Anchor Man,7800000,,,,,3.0
Edwin Laszo,The Draft,DMF,Colombia,26.0,70.0,Anchor Man,7600000,,,,,3.0
Emeka Eneli,The Draft,DMF,United States,26.0,70.0,Anchor Man,7600000,,,,,3.0
Enrique Serje,The Draft,DMF,Colombia,29.0,70.0,Anchor Man,7600000,,,,,3.0
Fabián Mosquera,The Draft,DMF,Colombia,30.0,70.0,Anchor Man,7200000,,,,,3.0
Fabry Castro,The Draft,DMF,Colombia,33.0,70.0,Anchor Man,3600000,,,,,3.0
Frank Lozano,The Draft,DMF,Colombia,32.0,70.0,Anchor Man,4400000,,,,,3.0
Gastón Gil Romero,The Draft,DMF,Argentina,32.0,70.0,Anchor Man,4400000,,,,,3.0
Gerard Yepes,The Draft,DMF,Spain,23.0,70.0,Anchor Man,8000000,,,,,3.0
Graeme Shinnie,The Draft,DMF,Scotland,34.0,70.0,Anchor Man,2000000,,,,,3.0
Jacopo Petriccione,The Draft,DMF,Italy,30.0,70.0,Anchor Man,7200000,,,,,3.0
Jandro Orellana,The Draft,DMF,Spain,25.0,70.0,Anchor Man,7600000,,,,,3.0
Jaume Grau,The Draft,DMF,Spain,28.0,70.0,Anchor Man,7600000,,,,,3.0
Jeppe Tverskov,The Draft,DMF,Denmark,32.0,70.0,Anchor Man,4400000,,,,,3.0
Jesús Bernal,The Draft,DMF,Spain,29.0,70.0,Anchor Man,7600000,,,,,3.0
Jhojan Valencia,The Draft,DMF,Colombia,29.0,70.0,Anchor Man,7600000,,,,,3.0
Joao Ortiz,The Draft,DMF,Ecuador,29.0,70.0,Anchor Man,7600000,,,,,3.0
Joe Bell,The Draft,DMF,New Zealand,26.0,70.0,Anchor Man,7600000,,,,,3.0
Jordi Quintillà,The Draft,DMF,Spain,32.0,70.0,Anchor Man,4400000,,,,,3.0
Josh Atencio,The Draft,DMF,United States,23.0,70.0,Anchor Man,8000000,,,,,3.0
Justin Portillo,The Draft,DMF,United States,33.0,70.0,Anchor Man,3600000,,,,,3.0
Keanu Baccus,The Draft,DMF,Australia,27.0,70.0,Anchor Man,7600000,,,,,3.0
Leo Štulac,The Draft,DMF,Slovenia,31.0,70.0,Anchor Man,5600000,,,,,3.0
Leonardo Pico,The Draft,DMF,Colombia,34.0,70.0,Anchor Man,2000000,,,,,3.0
Li Ke,The Draft,DMF,China PR,32.0,70.0,Anchor Man,4400000,,,,,3.0
Lorenzo Amatucci,The Draft,DMF,Italy,21.0,70.0,Anchor Man,8400000,,,,,3.0
Loret Sadiku,The Draft,DMF,Kosovo,34.0,70.0,Anchor Man,2000000,,,,,3.0
Luis Paz,The Draft,DMF,Colombia,37.0,70.0,Anchor Man,2000000,,,,,3.0
Luismi,The Draft,DMF,Spain,33.0,70.0,Anchor Man,3600000,,,,,3.0
Marcelo Esponda,The Draft,DMF,Argentina,22.0,70.0,Anchor Man,8200000,,,,,3.0
Marcos Gondra,The Draft,DMF,Spain,38.0,70.0,Anchor Man,2000000,,,,,3.0
Marko Jevtović,The Draft,DMF,Serbia,32.0,70.0,Anchor Man,4400000,,,,,3.0
Matt Polster,The Draft,DMF,United States,32.0,70.0,Anchor Man,4400000,,,,,3.0
Mees Hoedemakers,The Draft,DMF,Netherlands,27.0,70.0,Anchor Man,7600000,,,,,3.0
Mory Gbane,The Draft,DMF,Côte d'Ivoire,25.0,70.0,Anchor Man,7600000,,,,,3.0
Mukhtar Ali,The Draft,DMF,Saudi Arabia,28.0,70.0,Anchor Man,7600000,,,,,3.0
Nicolás Pelaitay,The Draft,DMF,Argentina,33.0,70.0,Anchor Man,3600000,,,,,3.0
Nicólas Watson,The Draft,DMF,Argentina,27.0,70.0,Anchor Man,7600000,,,,,3.0
Noble Okello,The Draft,DMF,Canada,25.0,70.0,Anchor Man,7600000,,,,,3.0
Ousmane Diakité,The Draft,DMF,Mali,25.0,70.0,Anchor Man,7600000,,,,,3.0
Oussama El Azzouzi,The Draft,DMF,Morocco,24.0,70.0,Anchor Man,7800000,,,,,3.0
Paul Digby,The Draft,DMF,England,30.0,70.0,Anchor Man,7200000,,,,,3.0
Pierre Ekwah,The Draft,DMF,France,23.0,70.0,Anchor Man,8000000,,,,,3.0
